"path","type","role_in_project","status_notes","used_for_conclusion"
"code_simulation/results/open_loop_bayesian_optimization/fixed_n_bo_confirmation_k3_k4_seed29_init4_iter8/confirmation_summary.md","result_summary","Historical confirmation run that produced the locked N=3 reference","Useful historical evidence but not final scientific closure","partial"
"code_simulation/results/open_loop_final_workflow/locked_n3_seed29_init4_iter8/final_workflow_summary.md","result_summary","Locked historical reference workflow package","Explicitly historical reference only","no"
"code_simulation/results/open_loop_final_workflow/locked_n3_seed29_init4_iter8/final_selected_solution_summary.md","result_summary","Details of the locked historical N=3 selection","Reproducibility artifact, not proof that N=3 is settled","no"
"code_simulation/results/open_loop_study/article_package_h360_k5_v1/article_interpretation.txt","result_summary","Interpretation memo for the older Nelder-Mead study era","Historical context only; states limits of that earlier evidence","no"
"code_simulation/results/open_loop_study/optimizer_learning_h360_k5/comparison_summary.txt","result_summary","Older optimizer-learning comparison","Historical evidence about old workflow tuning, not current BO decision","no"
"code_simulation/results/open_loop_study/optimizer_learning_h360_k5_budget_sensitivity/comparison_summary.txt","result_summary","Older budget-sensitivity comparison","Historical evidence about old workflow tuning, not current BO decision","no"
"code_simulation/results/open_loop_study/sensitivity_h360_early_drop_k5_nm_iter16_fev36_ti0/study_summary.txt","result_summary","Representative older early-drop Nelder-Mead result","Historical baseline only; reused by some later diagnostics","no"
"code_simulation/results/full_freezing_diagnostics/current_snapshot/full_freezing_summary.txt","result_summary","Auxiliary full-freezing comparison snapshot","Useful diagnostic evidence, but built around a legacy early-drop profile rather than the current BO default","partial"
"code_simulation/results/full_freezing_runtime_compare/current_snapshot/runtime_settings_summary.txt","result_summary","Auxiliary runtime-vs-accuracy snapshot","Useful diagnostic evidence, but tied to an earlier default snapshot and legacy profile source","partial"
"code_simulation/results/open_loop_optimization/full_process_cap2400_dt4_k5_article_compare/evaluation_history.csv","result_bundle","Older full-process optimization bundle for k=5","Historical non-current optimization branch","no"
"code_simulation/results/open_loop_optimization/full_process_cap2400_dt4_k7_article_compare/evaluation_history.csv","result_bundle","Older full-process optimization bundle for k=7","Historical non-current optimization branch","no"
